signature,timestamp,from,to,amount_sol,type,status
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,5Foib2ACZf7arJ9yRgkc1zVpZ36TABeirPvVABx9GcHs,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,8mADUomchRZcs6TJpdPfM3bnuQCiZo7azYzsyxyWwpbm,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,3GS4PjKPPrNXReUJGUeUchuoq2L69wZDkMVcJzMNA4GE,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,9135nqk9WfZhu2PexoySr1dxzBJ2UhYnN26NwVfijfck,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,9eWNHqhPeYgpgD9uvf512ByVWnuEPrZK31aibitLgyZ8,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,oyFFgogF9QLMGRAxkHVQ4eU1LsVwzn7d4sdxrSnsqnb,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,eevZ5MYPXnRv1PszoFrDKxTn1PxxfK3B2GMUWznAjey,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,Ak1FLw8dWzyvdK7XGzG9mpq8cXzGcRkgrwfqmWKvpD6m,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,CL7Ug9g2jMRsSKBCRNzM9dk2VaDV3deYUEzyPPKnYhzd,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,5cU5rbxAcpaGoPyms9jKoXQX5EiZzD3DNmwzbC3qE8Sd,1e-9,SOL,success
TNdVhgpWWuwhVbvr88pkaDx3ZQhLXEq3PhKAZzrizYSFn6hYXPt4zNqdQNsg73ifvXmzovz7q8eH6fu7kR87x1p,2026-02-13T17:25:41.000Z,XTZShgfhnTV5zduMcKL2ahHh4bJateZZ2CtavN3SyvK,9bz7Z5s43Mvg4R4hretD2mqqwRv9t96M7zTJWiR9jqe7,1e-9,SOL,success
